"","sex","age","race","education","PID","PID7","partisan","ascent_D","ascent_R","therm_D","therm_R","meta_prejudice","meta_dehum","political_threats","political_harassment","political_violence","toxic","experiment","version","target_party","condition"
"168","Female","18-25","White","Bachelor's Degree","Independent",4,0,89,51,73,45," Strongly agree"," Neither agree nor disagree",2,1,4,7,"DTI","Image","Democrat","Treatment"
"169","Female","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,85,96,91,79,"Somewhat agree ","Agree ",2,3,2,7,"RCV","Vignette","Republican","Control"
"170","Male","26-30","White","Associate Degree","Independent",4,0,100,2,50,0,"Disagree ","Strongly disagree ",4,4,NA,NA,"RTV","Vignette","Republican","Treatment"
"171","Female","18-25","White","Master's Degree","Strong Democrat",1,1,83,8,94,0," Strongly agree"," Agree",1,1,1,3,"DCI","Image","Democrat","Control"
"172","Male","18-25","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,87,94,84,77," Neither agree nor disagree"," Strongly agree",3,3,3,9,"DTV","Vignette","Democrat","Treatment"
"173","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,61,92,80,57,"Agree ","Somewhat agree ",3,2,4,9,"RTG","Graph","Republican","Treatment"
"174","Male","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,85,80,73,86," Agree"," Strongly agree",2,2,3,7,"DTG","Graph","Democrat","Treatment"
"175","Male","51+","White","Master's Degree","Strong Democrat",1,1,100,14,95,1," Agree"," Agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"176","Male","36-40","White","Bachelor's Degree","Lean Democrat",3,1,100,100,50,10," Strongly agree"," Strongly agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"177","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,33,49,45,29," Agree"," Somewhat agree",3,2,3,8,"DCI","Image","Democrat","Control"
"178","Male","51+","Asian or Asian American","Bachelor's Degree","Independent",4,0,87,50,81,40," Agree"," Somewhat agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"179","Female","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,100,95,85,20,"Neither agree nor disagree ","Neither agree nor disagree ",1,1,1,3,"RCI","Image","Republican","Control"
"180","Male","46-50","White","Master's Degree","Republican",6,1,73,100,80,100,"Agree ","Agree ",3,2,4,9,"RCV","Vignette","Republican","Control"
"181","Female","51+","White","Some college credit, no degree","Republican",6,1,100,100,73,100,"Somewhat agree ","Somewhat disagree ",1,1,1,3,"RCG","Graph","Republican","Control"
"182","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,77,84,70,60," Neither agree nor disagree"," Neither agree nor disagree",2,2,2,6,"DTV","Vignette","Democrat","Treatment"
"183","Female","51+","White","Master's Degree","Strong Democrat",1,1,100,100,100,0," Agree"," Disagree",1,1,1,3,"DCG","Graph","Democrat","Control"
"184","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,84,73,73,86," Agree"," Strongly agree",3,2,3,8,"DTI","Image","Democrat","Treatment"
"185","Male","31-35","White","Master's Degree","Democrat",2,1,96,90,88,86," Strongly agree"," Agree",3,3,3,9,"DCV","Vignette","Democrat","Control"
"186","Male","26-30","White,Black or African American","Bachelor's Degree","Lean Democrat",3,1,100,100,70,30," Somewhat agree"," Disagree",2,2,2,6,"DTG","Graph","Democrat","Treatment"
"187","Female","41-45","Asian or Asian American","Master's Degree","Strong Democrat",1,1,85,30,82,53," Strongly agree"," Strongly agree",3,3,NA,NA,"DTI","Image","Democrat","Treatment"
"188","Male","26-30","American Indian or Alaska Native","Master's Degree","Democrat",2,1,87,65,90,78," Strongly agree"," Somewhat agree",3,4,4,11,"DCV","Vignette","Democrat","Control"
"189","Female","26-30","Asian or Asian American","Master's Degree","Strong Democrat",1,1,94,89,89,98," Agree"," Agree",3,4,4,11,"DCV","Vignette","Democrat","Control"
"190","Male","18-25","Asian or Asian American","Master's Degree","Republican",6,1,26,100,15,100,"Somewhat agree ","Neither agree nor disagree ",2,1,1,4,"RTI","Image","Republican","Treatment"
"191","Female","41-45","White","Some college credit, no degree","Independent",4,0,100,100,85,15," Strongly agree"," Neither agree nor disagree",1,1,1,3,"DCG","Graph","Democrat","Control"
"192","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,88,97,90,94,"Agree ","Agree ",3,2,1,6,"RCI","Image","Republican","Control"
"193","Male","31-35","American Indian or Alaska Native","Master's Degree","Democrat",2,1,56,33,52,56," Agree"," Somewhat agree",2,3,3,8,"DCI","Image","Democrat","Control"
"194","Male","26-30","American Indian or Alaska Native","Bachelor's Degree","Democrat",2,1,96,89,96,87," Strongly agree"," Agree",4,3,4,11,"DCG","Graph","Democrat","Control"
"195","Male","36-40","Asian or Asian American","Bachelor's Degree","Lean Republican",5,1,60,83,56,81,"Strongly agree ","Neither agree nor disagree ",3,2,3,8,"RTV","Vignette","Republican","Treatment"
"196","Male","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,91,78,78,92," Agree"," Strongly agree",3,2,2,7,"DCI","Image","Democrat","Control"
"197","Female","26-30","White","Bachelor's Degree","Democrat",2,1,92,76,90,81," Agree"," Agree",3,3,3,9,"DTV","Vignette","Democrat","Treatment"
"198","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,94,100,92,100,"Agree ","Agree ",2,3,NA,NA,"RCG","Graph","Republican","Control"
"199","Male","51+","White","Bachelor's Degree","Strong Democrat",1,1,48,48,50,51," Somewhat agree"," Neither agree nor disagree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"200","Male","26-30","White,Asian or Asian American","Bachelor's Degree","Democrat",2,1,75,25,65,30," Agree"," Agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"201","Male","36-40","White","Master's Degree","Lean Republican",5,1,100,100,55,80,"Somewhat agree ","Disagree ",1,1,1,3,"RCG","Graph","Republican","Control"
"202","Male","18-25","Asian or Asian American","Bachelor's Degree","Democrat",2,1,85,60,70,20," Agree"," Neither agree nor disagree",1,1,1,3,"DCI","Image","Democrat","Control"
"203","Male","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,84,73,70,89," Agree"," Strongly agree",2,3,2,7,"DTI","Image","Democrat","Treatment"
"204","Male","31-35","American Indian or Alaska Native","Master's Degree","Democrat",2,1,50,50,51,52," Agree"," Somewhat agree",2,3,3,8,"DCI","Image","Democrat","Control"
"205","Female","26-30","American Indian or Alaska Native","Bachelor's Degree","Democrat",2,1,96,93,96,89," Agree"," Strongly agree",3,3,4,10,"DTG","Graph","Democrat","Treatment"
"206","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,94,94,85,85," Somewhat agree"," Somewhat agree",3,2,3,8,"DCG","Graph","Democrat","Control"
"207","Female","36-40","Black or African American","Associate Degree","Strong Democrat",1,1,100,24,90,0," Strongly agree"," Strongly agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"208","Male","18-25","White","Associate Degree","Democrat",2,1,100,0,100,0," Agree"," Agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"209","Female","26-30","White","Master's Degree","Strong Republican",7,1,76,98,65,81,"Agree ","Agree ",3,4,3,10,"RTI","Image","Republican","Treatment"
"210","Male","36-40","Asian or Asian American","Master's Degree","Independent",4,0,26,26,61,49,"Agree ","Somewhat agree ",1,1,1,3,"RCI","Image","Republican","Control"
"211","Male","46-50","White","Bachelor's Degree","Democrat",2,1,100,72,99,91," Neither agree nor disagree"," Neither agree nor disagree",3,3,4,10,"DCV","Vignette","Democrat","Control"
"212","Female","51+","White","Doctorate Degree","Independent",4,0,3,100,0,84,"Strongly agree ","Somewhat disagree ",1,1,1,3,"RCI","Image","Republican","Control"
"213","Male","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,79,95,78,88," Agree"," Agree",2,2,3,7,"DCI","Image","Democrat","Control"
"214","Prefer not to say","46-50","Asian or Asian American,Native Hawaiian or Pacific Islander","Master's Degree","Independent",4,0,98,99,7,50,"Strongly agree ","Strongly agree ",2,2,2,6,"RCI","Image","Republican","Control"
"215","Male","26-30","White","Some college credit, no degree","Lean Democrat",3,1,67,29,77,34," Agree"," Somewhat agree",1,1,2,4,"DCI","Image","Democrat","Control"
"216","Male","26-30","American Indian or Alaska Native","Bachelor's Degree","Democrat",2,1,98,94,95,92," Agree"," Somewhat agree",3,4,4,11,"DTG","Graph","Democrat","Treatment"
"217","Female","26-30","White","Master's Degree","Strong Republican",7,1,84,92,89,79,"Agree ","Strongly agree ",4,3,4,11,"RCG","Graph","Republican","Control"
"218","Male","26-30","White,Hispanic or Latino/a","Master's Degree","Democrat",2,1,100,88,97,60," Agree"," Somewhat agree",2,1,3,6,"DCI","Image","Democrat","Control"
"219","Male","51+","Hispanic or Latino/a","High school graduate, diploma or the equivalent","Democrat",2,1,100,100,100,100," Neither agree nor disagree"," Strongly disagree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"220","Male","26-30","White","Bachelor's Degree","Republican",6,1,60,100,2,99,"Agree ","Agree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"221","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,73,76,74,79," Agree"," Agree",3,2,2,7,"DTG","Graph","Democrat","Treatment"
"222","Female","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,84,55,90,81," Neither agree nor disagree"," Somewhat agree",2,3,4,9,"DCV","Vignette","Democrat","Control"
"223","Female","36-40","Asian or Asian American","Bachelor's Degree","Independent",4,0,63,87,87,65,"Somewhat agree ","Somewhat disagree ",2,3,3,8,"RTI","Image","Republican","Treatment"
"224","Male","31-35","Hispanic or Latino/a","Bachelor's Degree","Lean Democrat",3,1,80,80,80,71," Agree"," Somewhat disagree",2,3,1,6,"DCI","Image","Democrat","Control"
"225","Male","18-25","White","High school graduate, diploma or the equivalent","Independent",4,0,68,83,76,52," Neither agree nor disagree"," Neither agree nor disagree",3,2,3,8,"DCI","Image","Democrat","Control"
"226","Male","31-35","White","Bachelor's Degree","Democrat",2,1,86,64,81,62," Disagree"," Disagree",3,2,4,9,"DTG","Graph","Democrat","Treatment"
"227","Female","31-35","White","Bachelor's Degree","Lean Republican",5,1,100,100,80,90,"Disagree ","Disagree ",1,1,1,3,"RTG","Graph","Republican","Treatment"
"228","Female","41-45","Asian or Asian American","Bachelor's Degree","Independent",4,0,78,51,64,87," Somewhat disagree"," Strongly agree",3,2,4,9,"DTV","Vignette","Democrat","Treatment"
"229","Female","18-25","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,91,90,79,86," Agree"," Somewhat agree",3,2,4,9,"DCV","Vignette","Democrat","Control"
"230","Male","26-30","White","Master's Degree","Democrat",2,1,84,19,98,54," Strongly agree"," Somewhat agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"231","Male","26-30","Hispanic or Latino/a","Bachelor's Degree","Strong Democrat",1,1,100,32,99,21," Strongly agree"," Strongly agree",2,3,2,7,"DTG","Graph","Democrat","Treatment"
"232","Male","46-50","Asian or Asian American","Bachelor's Degree","Independent",4,0,63,82,58,51,"Somewhat agree ","Agree ",3,3,3,9,"RTI","Image","Republican","Treatment"
"233","Male","31-35","White","Associate Degree","Strong Democrat",1,1,100,100,10,0," Agree"," Agree",2,2,2,6,"DCG","Graph","Democrat","Control"
"234","Female","31-35","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,86,99,99,88,"Somewhat agree ","Strongly agree ",3,3,4,10,"RCI","Image","Republican","Control"
"235","Male","26-30","White","Bachelor's Degree","Republican",6,1,31,75,27,59,"Neither agree nor disagree ","Neither agree nor disagree ",2,3,2,7,"RCG","Graph","Republican","Control"
"236","Male","46-50","Asian or Asian American","Bachelor's Degree","Independent",4,0,95,90,60,40,"Somewhat agree ","Somewhat agree ",2,1,1,4,"RCG","Graph","Republican","Control"
"237","Male","36-40","White","Bachelor's Degree","Democrat",2,1,85,100,100,83," Neither agree nor disagree"," Neither agree nor disagree",3,3,4,10,"DTI","Image","Democrat","Treatment"
"238","Male","18-25","Asian or Asian American","Bachelor's Degree","Democrat",2,1,100,34,90,62," Strongly agree"," Agree",3,4,4,11,"DCV","Vignette","Democrat","Control"
"239","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,82,77,72,66," Somewhat agree"," Somewhat agree",3,2,2,7,"DCI","Image","Democrat","Control"
"240","Male","31-35","White","Master's Degree","Strong Democrat",1,1,100,15,100,0," Strongly agree"," Strongly agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"241","Female","41-45","White","Master's Degree","Democrat",2,1,75,28,81,51," Neither agree nor disagree"," Neither agree nor disagree",3,3,NA,NA,"DTI","Image","Democrat","Treatment"
"242","Female","18-25","Asian or Asian American","Bachelor's Degree","Democrat",2,1,100,100,70,20," Somewhat agree"," Somewhat agree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"243","Male","26-30","American Indian or Alaska Native","Bachelor's Degree","Independent",4,0,97,97,70,60,"Strongly disagree ","Strongly disagree ",1,1,1,3,"RTI","Image","Republican","Treatment"
"244","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,87,97,93,82,"Somewhat agree ","Agree ",2,3,2,7,"RCI","Image","Republican","Control"
"245","Male","26-30","Asian or Asian American","Bachelor's Degree","Lean Republican",5,1,100,100,50,50,"Somewhat agree ","Disagree ",1,1,1,3,"RTG","Graph","Republican","Treatment"
"246","Male","36-40","White","Bachelor's Degree","Democrat",2,1,96,83,94,20," Agree"," Strongly agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"247","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,80,68,80,70," Neither agree nor disagree"," Somewhat agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"248","Male","18-25","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,70,92,90,77,"Agree ","Strongly agree ",4,4,4,12,"RCG","Graph","Republican","Control"
"249","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,87,54,63,82," Agree"," Somewhat disagree",3,2,4,9,"DTI","Image","Democrat","Treatment"
"250","Female","31-35","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,90,98,98,91,"Agree ","Agree ",3,3,4,10,"RTI","Image","Republican","Treatment"
"251","Male","26-30","American Indian or Alaska Native","Master's Degree","Republican",6,1,89,97,92,98,"Disagree ","Strongly agree ",4,3,3,10,"RCG","Graph","Republican","Control"
"252","Male","31-35","White,Hispanic or Latino/a","Bachelor's Degree","Independent",4,0,90,90,50,50," Agree"," Neither agree nor disagree",2,3,1,6,"DTV","Vignette","Democrat","Treatment"
"253","Female","36-40","White","Master's Degree","Democrat",2,1,100,0,100,0," Strongly agree"," Strongly agree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"254","Female","31-35","Black or African American","Associate Degree","Lean Democrat",3,1,78,56,68,62," Somewhat agree"," Agree",3,1,2,6,"DTG","Graph","Democrat","Treatment"
"255","Male","18-25","White","Some college credit, no degree","Lean Republican",5,1,100,100,51,50,"Neither agree nor disagree ","Neither agree nor disagree ",2,4,1,7,"RCI","Image","Republican","Control"
"256","Male","26-30","Asian or Asian American","Bachelor's Degree","Lean Democrat",3,1,100,100,50,10," Agree"," Agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"257","Male","31-35","Asian or Asian American","Master's Degree","Lean Republican",5,1,34,66,48,63,"Neither agree nor disagree ","Agree ",2,3,3,8,"RTV","Vignette","Republican","Treatment"
"258","Male","18-25","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,68,94,87,70,"Strongly agree ","Agree ",4,3,NA,NA,"RTV","Vignette","Republican","Treatment"
"259","Male","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,90,83,87,78," Agree"," Agree",3,2,4,9,"DCI","Image","Democrat","Control"
"260","Male","26-30","Black or African American","Associate Degree","Strong Democrat",1,1,85,72,87,85," Agree"," Agree",3,2,4,9,"DCV","Vignette","Democrat","Control"
"261","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,36,39,50,40," Somewhat agree"," Somewhat agree",2,3,2,7,"DCI","Image","Democrat","Control"
"262","Male","26-30","White","Master's Degree","Strong Democrat",1,1,87,69,56,78," Agree"," Somewhat agree",3,2,3,8,"DTV","Vignette","Democrat","Treatment"
"263","Male","26-30","Black or African American","Associate Degree","Lean Democrat",3,1,94,21,100,7," Agree"," Agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"264","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,66,87,89,74,"Agree ","Strongly agree ",2,3,2,7,"RCI","Image","Republican","Control"
"265","Male","31-35","Asian or Asian American","Master's Degree","Democrat",2,1,61,45,52,52," Agree"," Agree",2,3,2,7,"DTV","Vignette","Democrat","Treatment"
"266","Male","51+","Black or African American","Master's Degree","Independent",4,0,100,99,51,20," Agree"," Somewhat agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"267","Male","51+","White","Bachelor's Degree","Democrat",2,1,79,21,80,15," Agree"," Somewhat agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"268","Female","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,81,49,79,71," Agree"," Strongly agree",3,2,3,8,"DCV","Vignette","Democrat","Control"
"269","Male","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,86,57,83,71," Neither agree nor disagree"," Somewhat agree",2,2,2,6,"DTV","Vignette","Democrat","Treatment"
"270","Female","51+","Black or African American","Associate Degree","Democrat",2,1,84,83,72,73," Somewhat disagree"," Somewhat disagree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"271","Male","26-30","White","Bachelor's Degree","Republican",6,1,53,100,40,78,"Agree ","Neither agree nor disagree ",2,3,3,8,"RTI","Image","Republican","Treatment"
"272","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,71,88,74,63," Somewhat disagree"," Neither agree nor disagree",2,2,2,6,"DTG","Graph","Democrat","Treatment"
"273","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,56,99,70,61,"Neither agree nor disagree ","Agree ",1,2,3,6,"RTI","Image","Republican","Treatment"
"274","Female","31-35","American Indian or Alaska Native","Bachelor's Degree","Democrat",2,1,96,91,97,91," Somewhat agree"," Agree",3,4,4,11,"DTV","Vignette","Democrat","Treatment"
"275","Male","31-35","Asian or Asian American","Master's Degree","Lean Republican",5,1,65,88,62,40,"Neither agree nor disagree ","Neither agree nor disagree ",2,3,2,7,"RTV","Vignette","Republican","Treatment"
"276","Male","36-40","White","Master's Degree","Democrat",2,1,92,75,77,89," Strongly agree"," Agree",3,2,4,9,"DTV","Vignette","Democrat","Treatment"
"277","Male","26-30","Native Hawaiian or Pacific Islander","Master's Degree","Strong Democrat",1,1,88,87,88,88," Strongly agree"," Strongly agree",4,4,NA,NA,"DCI","Image","Democrat","Control"
"278","Male","26-30","White","Some college credit, no degree","Democrat",2,1,96,83,91,69," Somewhat agree"," Disagree",3,1,1,5,"DTI","Image","Democrat","Treatment"
"279","Female","18-25","White","Some high school, no diploma","Democrat",2,1,38,25,21,20," Somewhat agree"," Somewhat agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"280","Female","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,83,90,87,81,"Agree ","Agree ",2,3,3,8,"RCI","Image","Republican","Control"
"281","Male","46-50","White","Master's Degree","Independent",4,0,95,85,40,5,"Somewhat agree ","Disagree ",1,1,1,3,"RTV","Vignette","Republican","Treatment"
"282","Female","41-45","White","Master's Degree","Republican",6,1,53,73,48,63,"Neither agree nor disagree ","Neither agree nor disagree ",2,3,2,7,"RCI","Image","Republican","Control"
"283","Male","36-40","Hispanic or Latino/a","Some college credit, no degree","Republican",6,1,100,100,20,80,"Strongly agree ","Agree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"284","Female","51+","White","Associate Degree","Lean Democrat",3,1,100,100,100,100," Somewhat disagree"," Somewhat agree",1,1,2,4,"DTG","Graph","Democrat","Treatment"
"285","Female","18-25","White","Bachelor's Degree","Democrat",2,1,98,70,100,71," Somewhat agree"," Neither agree nor disagree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"286","Male","31-35","White","Master's Degree","Lean Republican",5,1,77,90,84,78,"Agree ","Agree ",4,4,4,12,"RTV","Vignette","Republican","Treatment"
"287","Female","46-50","","Associate Degree","Democrat",2,1,94,71,91,75," Disagree"," Strongly disagree",2,3,2,7,"DTI","Image","Democrat","Treatment"
"288","Male","36-40","White","Bachelor's Degree","Strong Democrat",1,1,100,100,88,96," Agree"," Neither agree nor disagree",4,3,3,10,"DCG","Graph","Democrat","Control"
"289","Male","46-50","White","Master's Degree","Lean Democrat",3,1,97,50,67,4," Strongly agree"," Somewhat disagree",1,1,2,4,"DCI","Image","Democrat","Control"
"290","Male","31-35","Asian or Asian American","Master's Degree","Democrat",2,1,88,70,81,90," Agree"," Strongly agree",3,2,3,8,"DTI","Image","Democrat","Treatment"
"291","Male","36-40","Asian or Asian American","Bachelor's Degree","Independent",4,0,44,63,54,68,"Neither agree nor disagree ","Somewhat disagree ",3,3,3,9,"RCG","Graph","Republican","Control"
"292","Male","31-35","Other","Bachelor's Degree","Strong Democrat",1,1,99,75,99,50," Agree"," Somewhat agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"293","Male","36-40","Asian or Asian American","Bachelor's Degree","Democrat",2,1,79,66,39,56," Neither agree nor disagree"," Neither agree nor disagree",3,2,2,7,"DTI","Image","Democrat","Treatment"
"294","Male","31-35","White","Bachelor's Degree","Strong Democrat",1,1,100,10,50,2," Strongly agree"," Strongly agree",4,4,NA,NA,"DCG","Graph","Democrat","Control"
"295","Female","26-30","American Indian or Alaska Native","Master's Degree","Democrat",2,1,94,89,93,83," Somewhat agree"," Agree",4,3,NA,NA,"DCI","Image","Democrat","Control"
"296","Male","26-30","White","Master's Degree","Strong Republican",7,1,26,82,5,89,"Strongly agree ","Agree ",1,1,1,3,"RCG","Graph","Republican","Control"
"297","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,90,99,97,90,"Agree ","Agree ",3,3,NA,NA,"RTI","Image","Republican","Treatment"
"298","Female","31-35","White","Bachelor's Degree","Lean Democrat",3,1,80,80,50,50," Neither agree nor disagree"," Disagree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"299","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,86,77,81,73,"Agree ","Strongly agree ",2,3,2,7,"RTI","Image","Republican","Treatment"
"300","Male","31-35","White","Bachelor's Degree","Independent",4,0,100,100,50,50,"Neither agree nor disagree ","Neither agree nor disagree ",1,1,1,3,"RCI","Image","Republican","Control"
"301","Female","41-45","American Indian or Alaska Native","Bachelor's Degree","Independent",4,0,50,43,48,55," Neither agree nor disagree"," Somewhat agree",1,1,3,5,"DCG","Graph","Democrat","Control"
"302","Female","31-35","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,90,98,98,87,"Agree ","Strongly agree ",3,3,NA,NA,"RCV","Vignette","Republican","Control"
"303","Female","41-45","White","Bachelor's Degree","Democrat",2,1,77,71,65,75," Somewhat agree"," Agree",3,2,4,9,"DCG","Graph","Democrat","Control"
"304","Female","26-30","White","","Strong Democrat",1,1,59,53,42,50," Agree"," Strongly agree",2,3,1,6,"DCV","Vignette","Democrat","Control"
"305","Male","31-35","White","High school graduate, diploma or the equivalent","Independent",4,0,100,95,50,45,"Agree ","Somewhat agree ",1,1,1,3,"RCG","Graph","Republican","Control"
"306","Female","51+","White","Associate Degree","Strong Democrat",1,1,95,66,95,26," Agree"," Strongly agree",3,3,1,7,"DTV","Vignette","Democrat","Treatment"
"307","Female","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,92,87,78,51," Neither agree nor disagree"," Neither agree nor disagree",1,2,1,4,"DTI","Image","Democrat","Treatment"
"308","Female","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,80,85,75,85," Somewhat disagree"," Neither agree nor disagree",3,3,3,9,"DTI","Image","Democrat","Treatment"
"309","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,90,98,98,89,"Agree ","Agree ",4,3,NA,NA,"RTV","Vignette","Republican","Treatment"
"310","Male","26-30","Asian or Asian American","Associate Degree","Lean Democrat",3,1,90,85,50,37," Agree"," Somewhat agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"311","Male","31-35","White","Some high school, no diploma","Democrat",2,1,34,28,43,44," Agree"," Agree",3,2,3,8,"DTG","Graph","Democrat","Treatment"
"312","Male","26-30","Asian or Asian American","Bachelor's Degree","Republican",6,1,10,100,5,100,"Strongly agree ","Strongly agree ",2,1,1,4,"RCI","Image","Republican","Control"
"313","Female","36-40","White","Master's Degree","Democrat",2,1,95,83,85,91," Strongly agree"," Agree",3,2,3,8,"DCG","Graph","Democrat","Control"
"314","Male","41-45","White","Bachelor's Degree","Democrat",2,1,85,70,85,65," Agree"," Agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"315","Female","31-35","White","Associate Degree","Lean Republican",5,1,80,74,80,87,"Agree ","Somewhat agree ",2,3,3,8,"RTI","Image","Republican","Treatment"
"316","Male","26-30","Asian or Asian American","Master's Degree","Independent",4,0,66,76,73,61,"Somewhat agree ","Somewhat agree ",2,3,NA,NA,"RCG","Graph","Republican","Control"
"317","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,90,97,97,90,"Agree ","Strongly agree ",4,3,NA,NA,"RTI","Image","Republican","Treatment"
"318","Female","46-50","Asian or Asian American","Bachelor's Degree","Democrat",2,1,99,40,95,20," Strongly agree"," Strongly agree",1,1,1,3,"DCI","Image","Democrat","Control"
"319","Male","26-30","American Indian or Alaska Native","Master's Degree","Democrat",2,1,97,94,93,97," Agree"," Somewhat agree",3,3,NA,NA,"DTV","Vignette","Democrat","Treatment"
"320","Female","31-35","White","Bachelor's Degree","Strong Republican",7,1,75,100,81,100,"Strongly agree ","Agree ",4,3,NA,NA,"RCV","Vignette","Republican","Control"
"321","Male","26-30","White","Bachelor's Degree","Democrat",2,1,49,57,76,77," Strongly agree"," Strongly agree",4,4,NA,NA,"DCV","Vignette","Democrat","Control"
"322","Female","31-35","White","Bachelor's Degree","Republican",6,1,45,87,16,92,"Somewhat agree ","Agree ",2,3,3,8,"RCG","Graph","Republican","Control"
"323","Female","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,47,61,51,57,"Neither agree nor disagree ","Somewhat agree ",3,3,3,9,"RTI","Image","Republican","Treatment"
"324","Female","51+","White","Bachelor's Degree","Lean Democrat",3,1,75,65,90,40," Agree"," Agree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"325","Male","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,90,85,81,73," Neither agree nor disagree"," Neither agree nor disagree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"326","Male","31-35","Asian or Asian American","Master's Degree","Independent",4,0,74,93,92,81,"Agree ","Strongly agree ",3,2,3,8,"RTV","Vignette","Republican","Treatment"
"327","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,80,90,83,70,"Strongly agree ","Agree ",3,2,2,7,"RCV","Vignette","Republican","Control"
"328","Female","41-45","White","Master's Degree","Strong Democrat",1,1,95,50,100,30," Somewhat agree"," Somewhat agree",2,2,4,8,"DTG","Graph","Democrat","Treatment"
"329","Male","41-45","White","Bachelor's Degree","Strong Democrat",1,1,100,100,85,0," Strongly agree"," Agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"330","Female","31-35","White","Bachelor's Degree","Democrat",2,1,95,100,48,55," Agree"," Strongly agree",2,3,3,8,"DTI","Image","Democrat","Treatment"
